SymbolIndex,SampleIndexAfterDelayRemoval,SampleTime_s,SampledVoltage_V,InstantFastCode_dec,InstantFastVout_V,VectorFastCode_dec,VectorFastVout_V
220,28231,3.938305546875e-09,-0.0716977450136193,48,-0.075,48,-0.075
221,28359,3.956162546875e-09,0.255930492804683,118,0.253125,118,0.253125
222,28487,3.974019546875e-09,0.216085143163932,110,0.215625,110,0.215625
223,28615,3.991876546875e-09,0.240642003573441,115,0.2390625,115,0.2390625
224,28743,4.009733546875e-09,-0.10489823177107,41,-0.1078125,41,-0.1078125
225,28871,4.027590546875e-09,-0.20347323857145,20,-0.20625,20,-0.20625
226,28999,4.045447546875e-09,-0.111212288123612,40,-0.1125,40,-0.1125
227,29127,4.063304546875e-09,-0.241105831062869,12,-0.24375,12,-0.24375
228,29255,4.081161546875e-09,-0.223893004800606,16,-0.225,16,-0.225
229,29383,4.099018546875e-09,-0.0990556698263901,42,-0.103125,42,-0.103125
230,29511,4.116875546875e-09,0.112564780095321,88,0.1125,88,0.1125
231,29639,4.134732546875e-09,0.0536900867451531,75,0.0515625,75,0.0515625
232,29767,4.152589546875e-09,-0.207088042964925,19,-0.2109375,19,-0.2109375
233,29895,4.170446546875e-09,0.0784883430787243,80,0.075,80,0.075
234,30023,4.188303546875e-09,0.224339298165623,111,0.2203125,111,0.2203125
235,30151,4.206160546875e-09,-0.253289590807352,9,-0.2578125,9,-0.2578125
236,30279,4.224017546875e-09,-0.227705148382321,15,-0.2296875,15,-0.2296875
237,30407,4.241874546875e-09,-0.0718749570371309,48,-0.075,48,-0.075
238,30535,4.259731546875e-09,-0.0708335949786975,48,-0.075,48,-0.075
239,30663,4.277588546875e-09,0.0665463708349572,78,0.065625,78,0.065625
240,30791,4.295445546875e-09,0.244801947861727,116,0.24375,116,0.24375
241,30919,4.313302546875e-09,0.0536181175617773,75,0.0515625,75,0.0515625
242,31047,4.331159546875e-09,-0.211378344435263,18,-0.215625,18,-0.215625
243,31175,4.349016546875e-09,0.236150956351478,114,0.234375,114,0.234375
244,31303,4.366873546875e-09,0.0502473660922623,74,0.046875,74,0.046875
245,31431,4.384730546875e-09,0.199516927166659,106,0.196875,106,0.196875
246,31559,4.402587546875e-09,-0.0589270367568406,51,-0.0609375,51,-0.0609375
247,31687,4.420444546875e-09,-0.0761953164431533,47,-0.0796875,47,-0.0796875
248,31815,4.438301546875e-09,0.225309160930395,112,0.225,112,0.225
249,31943,4.456158546875e-09,0.0663600282819979,78,0.065625,78,0.065625
250,32071,4.474015546875e-09,-0.239081574885142,12,-0.24375,12,-0.24375
251,32199,4.491872546875e-09,0.244848422611192,116,0.24375,116,0.24375
252,32327,4.509729546875e-09,-0.0700584766718077,49,-0.0703125,49,-0.0703125
253,32455,4.527586546875e-09,0.0521837634643858,75,0.0515625,75,0.0515625
254,32583,4.545443546875e-09,-0.224772757556791,16,-0.225,16,-0.225
255,32711,4.563300546875e-09,0.241857067796477,115,0.2390625,115,0.2390625
256,32839,4.581157546875e-09,0.0720308108223334,79,0.0703125,79,0.0703125
257,32967,4.599014546875e-09,0.0835104817578052,81,0.0796875,81,0.0796875
258,33095,4.616871546875e-09,0.229499366580735,112,0.225,112,0.225
259,33223,4.634728546875e-09,0.224548521671205,111,0.2203125,111,0.2203125
260,33351,4.652585546875e-09,-0.0792742523739956,47,-0.0796875,47,-0.0796875
261,33479,4.670442546875e-09,-0.0783921605840857,47,-0.0796875,47,-0.0796875
262,33607,4.688299546875e-09,-0.0754691757889008,47,-0.0796875,47,-0.0796875
263,33735,4.706156546875e-09,-0.083277782782448,46,-0.084375,46,-0.084375
264,33863,4.724013546875e-09,-0.0679592335932514,49,-0.0703125,49,-0.0703125
265,33991,4.741870546875e-09,0.0674602023073821,78,0.065625,78,0.065625
266,34119,4.759727546875e-09,-0.0740854069653754,48,-0.075,48,-0.075
267,34247,4.777584546875e-09,-0.0605873232918943,51,-0.0609375,51,-0.0609375
268,34375,4.795441546875e-09,-0.063830738300064,50,-0.065625,50,-0.065625
269,34503,4.813298546875e-09,0.0647631506732596,77,0.0609375,77,0.0609375
270,34631,4.831155546875e-09,0.077211930310263,80,0.075,80,0.075
271,34759,4.849012546875e-09,-0.232356512957447,14,-0.234375,14,-0.234375
272,34887,4.866869546875e-09,-0.224230413754982,16,-0.225,16,-0.225
273,35015,4.884726546875e-09,-0.223855775323644,16,-0.225,16,-0.225
274,35143,4.902583546875e-09,0.22692620371798,112,0.225,112,0.225
275,35271,4.920440546875e-09,-0.241138072373924,12,-0.24375,12,-0.24375
276,35399,4.938297546875e-09,0.257409235420512,118,0.253125,118,0.253125
277,35527,4.956154546875e-09,-0.248377752944248,11,-0.2484375,11,-0.2484375
278,35655,4.974011546875e-09,0.26903145275879,121,0.2671875,121,0.2671875
279,35783,4.991868546875e-09,0.185800642059807,103,0.1828125,103,0.1828125
280,35911,5.009725546875e-09,0.104262535297608,86,0.103125,86,0.103125
281,36039,5.027582546875e-09,0.0459958058127889,73,0.0421875,73,0.0421875
282,36167,5.045439546875e-09,-0.213554199159607,18,-0.215625,18,-0.215625
283,36295,5.063296546875e-09,0.233201041078511,113,0.2296875,113,0.2296875
284,36423,5.081153546875e-09,-0.261145367486546,8,-0.2625,8,-0.2625
285,36551,5.099010546875e-09,-0.221229224928354,16,-0.225,16,-0.225
286,36679,5.116867546875e-09,-0.236749293772012,13,-0.2390625,13,-0.2390625
287,36807,5.134724546875e-09,-0.214178402015924,18,-0.215625,18,-0.215625
288,36935,5.152581546875e-09,0.233305052313866,113,0.2296875,113,0.2296875
289,37063,5.170438546875e-09,-0.0896633118685494,44,-0.09375,44,-0.09375
290,37191,5.188295546875e-09,-0.0639693053724832,50,-0.065625,50,-0.065625
291,37319,5.206152546875e-09,0.0924335427040374,83,0.0890625,83,0.0890625
292,37447,5.224009546875e-09,-0.0829901037624087,46,-0.084375,46,-0.084375
293,37575,5.241866546875e-09,-0.237879190542612,13,-0.2390625,13,-0.2390625
294,37703,5.259723546875e-09,0.233608477459259,113,0.2296875,113,0.2296875
295,37831,5.277580546875e-09,-0.259708672906937,8,-0.2625,8,-0.2625
296,37959,5.295437546875e-09,-0.212984908262151,18,-0.215625,18,-0.215625
297,38087,5.313294546875e-09,0.253319221168329,118,0.253125,118,0.253125
298,38215,5.331151546875e-09,-0.11573318289657,39,-0.1171875,39,-0.1171875
299,38343,5.349008546875e-09,0.102005445651509,85,0.0984375,85,0.0984375
300,38471,5.366865546875e-09,0.211116195395704,109,0.2109375,109,0.2109375
301,38599,5.384722546875e-09,-0.229438605446401,15,-0.2296875,15,-0.2296875
302,38727,5.402579546875e-09,0.0742736613249025,79,0.0703125,79,0.0703125
303,38855,5.420436546875e-09,0.0691782896301696,78,0.065625,78,0.065625
304,38983,5.438293546875e-09,-0.235477167236782,13,-0.2390625,13,-0.2390625
305,39111,5.456150546875e-09,0.232945819488399,113,0.2296875,113,0.2296875
306,39239,5.474007546875e-09,0.223951929928531,111,0.2203125,111,0.2203125
307,39367,5.491864546875e-09,-0.0948892005218109,43,-0.0984375,43,-0.0984375
308,39495,5.509721546875e-09,-0.0531861431457743,52,-0.05625,52,-0.05625
309,39623,5.527578546875e-09,0.0796329675525839,80,0.075,80,0.075
310,39751,5.545435546875e-09,0.0581102906943082,76,0.05625,76,0.05625
311,39879,5.563292546875e-09,-0.0832424210583935,46,-0.084375,46,-0.084375
312,40007,5.581149546875e-09,0.0745150142831807,79,0.0703125,79,0.0703125
313,40135,5.599006546875e-09,0.0879487715077608,82,0.084375,82,0.084375
314,40263,5.616863546875e-09,-0.0740047456425569,48,-0.075,48,-0.075
315,40391,5.634720546875e-09,0.225385238561609,112,0.225,112,0.225
316,40519,5.652577546875e-09,0.0597071321006851,76,0.05625,76,0.05625
317,40647,5.670434546875e-09,0.103885564295367,86,0.103125,86,0.103125
318,40775,5.688291546875e-09,0.210449573223953,108,0.20625,108,0.20625
319,40903,5.706148546875e-09,0.249101524711294,117,0.2484375,117,0.2484375
320,41031,5.724005546875e-09,0.224946181792333,111,0.2203125,111,0.2203125
321,41159,5.741862546875e-09,-0.258186119524871,8,-0.2625,8,-0.2625
322,41287,5.759719546875e-09,0.251446989035005,117,0.2484375,117,0.2484375
323,41415,5.777576546875e-09,0.224724892343368,111,0.2203125,111,0.2203125
324,41543,5.795433546875e-09,-0.0922396766041069,44,-0.09375,44,-0.09375
325,41671,5.813290546875e-09,0.261059185623217,119,0.2578125,119,0.2578125
326,41799,5.831147546875e-09,-0.111999471871216,40,-0.1125,40,-0.1125
327,41927,5.849004546875e-09,-0.0550937789871385,52,-0.05625,52,-0.05625
328,42055,5.866861546875e-09,-0.0752056136950609,47,-0.0796875,47,-0.0796875
329,42183,5.884718546875e-09,-0.224651159174579,16,-0.225,16,-0.225
330,42311,5.902575546875e-09,0.229286263187556,112,0.225,112,0.225
331,42439,5.920432546875e-09,-0.217495424145251,17,-0.2203125,17,-0.2203125
332,42567,5.938289546875e-09,0.241694059333292,115,0.2390625,115,0.2390625
333,42695,5.956146546875e-09,0.0851394151258066,82,0.084375,82,0.084375
334,42823,5.974003546875e-09,-0.237801231017231,13,-0.2390625,13,-0.2390625
335,42951,5.991860546875e-09,-0.209686821577222,19,-0.2109375,19,-0.2109375
336,43079,6.009717546875e-09,0.0618162925120154,77,0.0609375,77,0.0609375
337,43207,6.027574546875e-09,-0.228912397208276,15,-0.2296875,15,-0.2296875
338,43335,6.045431546875e-09,-0.0647587249646406,50,-0.065625,50,-0.065625
339,43463,6.063288546875e-09,0.0701695520451427,78,0.065625,78,0.065625
340,43591,6.081145546875e-09,-0.229704344520644,14,-0.234375,14,-0.234375
341,43719,6.099002546875e-09,-0.222979953812539,16,-0.225,16,-0.225
342,43847,6.116859546875e-09,0.0910341623770645,83,0.0890625,83,0.0890625
